Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Matthew Thompson","CHW","SP","AA","22.1777777",,13,"45 / 50","40 / 45","50 / 55","40 / 50","35 / 50","40",109.2,0.2217484,0.08528785,0.42857143,4.841945653673616,4.748325234563599,"sa3011866"
"Brent Headrick","MIN","SP","AA","24.8277777",,24,"40 / 45","","","45 / 50","55 / 60","40",108.1,0.30979499,0.05694761,0.30627306,3.3230770790957913,3.5500184340548757,"sa3011887"
"Bobby Miller","LAD","SP","AAA","23.5277777",40,2,"65 / 70","60 / 60","","45 / 55","40 / 45","50",112.1,0.30916844,0.07889126,0.49454545,4.246290921352481,3.5045625148316875,"sa3014422"
"Asa Lacy","KCR","SIRP","AA","23.3694444",,9,"60 / 70","60 / 70","55 / 60","45 / 50","30 / 35","40+",28,0.23026316,0.27631579,0.48387097,10.607142857142858,8.576143006341798,"sa3014423"
"J.T. Ginn","OAK","SP","AA","23.4027777",,9,"50 / 55","60 / 60","","40 / 50","35 / 55","45",42.1,0.24731183,0.07526882,0.60683761,5.102362817762819,3.9380380889524735,"sa3014428"
"Chris McMahon","COL","SP","A+","23.6972222",,17,"40 / 45","50 / 55","","45 / 55","35 / 50","40",28.2,0.19379845,0.03875969,0.38383838,5.337208710469899,3.996401999836962,"sa3014429"
"R.J. Dabovich","SFG","SIRP","AAA","23.7611111",,6,"55 / 55","","70 / 70","","40 / 45","45",51.1,0.32394366,0.12206573,0.31578947,3.506493072200989,4.1683444321444085,"sa3014431"
"Connor Phillips","CIN","MIRP","AA","21.4472222",,10,"50 / 60","60 / 60","50 / 55","","30 / 40","45",109.2,0.31712474,0.13953488,0.37903226,3.775075812756579,4.070584631355804,"sa3014433"
"Jeff Criswell","OAK","MIRP","AA","23.5972222",,13,"55 / 60","55 / 60","45 / 50","40 / 45","30 / 40","40+",118.1,0.23847695,0.09018036,0.38977636,4.030985633942439,4.729880006848498,"sa3014435"
"Bryce Jarvis","ARI","SP","AA","24.8027777",,10,"50 / 50","50 / 55","45 / 45","50 / 55","40 / 55","45",106.2,0.21782178,0.11881188,0.38993711,8.268750788569525,5.438801840464602,"sa3014437"
"Cole Wilcox","TBR","SP","A","23.2527777",,15,"55 / 60","55 / 60","","45 / 55","35 / 45","45",16,0.34782609,0.05797101,0.7,3.9375,2.132415948715061,"sa3014443"
"Logan Allen","CLE","SP","AAA","24.1111111",62,4,"55 / 55","40 / 45","","","45 / 55","50",132.2,0.31494662,0.09074733,0.38297872,4.748743536532473,3.5669497583853107,"sa3014444"
"Cole Henry","WSN","MIRP","AAA","23.25",95,4,"55 / 60","55 / 60","","55 / 60","40 / 45","50",31.2,0.28571429,0.09243697,0.4084507,1.7052629867088933,4.231774520443641,"sa3014446"
"Tanner Burns","CLE","SP","AA","23.7972222",,33,"45 / 45","50 / 55","45 / 45","45 / 50","40 / 50","40",88.2,0.2371134,0.11597938,0.34599156,3.5526319865327975,4.864641140484895,"sa3014451"
"Bryce Bonnin","CIN","SIRP","A+","24.0111111",,17,"55 / 55","55 / 60","","30 / 45","30 / 40","40+",25,0.28571429,0.12244898,0.46296296,2.52,4.304858767986298,"sa3014453"
"Sam Weatherly","COL","SIRP","A+","23.3805555",,13,"55 / 55","55 / 60","50 / 55","40 / 45","30 / 45","40+",11.2,0.44230769,0.03846154,0.40740741,3.8571418061551213,1.6187948632912224,"sa3014455"
"Emerson Hancock","SEA","SP","AA","23.375",,4,"45 / 50","55 / 60","45 / 50","55 / 60","35 / 55","45",98.1,0.22276029,0.09200969,0.33085502,3.752542566980527,5.427479610905618,"sa3014456"
"Jared Jones","PIT","SP","A+","21.1916666",,8,"60 / 60","55 / 60","55 / 55","40 / 50","30 / 45","45",122.2,0.26691729,0.09586466,0.38650307,4.622282992013267,4.273881481298355,"sa3014459"
"Beck Way","KCR","SP","A+","23.1916666",,18,"50 / 55","45 / 50","","45 / 50","30 / 45","40",108,0.28668172,0.09706546,0.453125,3.75,3.8397225416360894,"sa3014462"
"Hunter Barnhart","TBR","SP","A","20.6694444",,46,"40 / 50","","50 / 55","30 / 45","30 / 45","35+",1,0.33333333,0,1,0,1.8252841949462892,"sa3014467"
"Jared Kelley","CHW","SIRP","AA","21.0333333",,9,"55 / 60","30 / 40","","60 / 70","30 / 50","40+",76.2,0.21646341,0.14329268,0.49253731,3.521739597717232,4.893090361327527,"sa3014471"
"Nick Bitsko","TBR","SP","A","20.3305555",,23,"50 / 60","","50 / 60","35 / 50","30 / 50","40+",26,0.15267176,0.20610687,0.49350649,6.230769230769231,6.859134986022345,"sa3014476"
"Christian Roa","CIN","SP","AA","23.5361111",,27,"50 / 50","50 / 50","55 / 55","50 / 55","35 / 50","40",91,0.26020408,0.14030612,0.36363636,3.5604395604395602,4.7966152257316725,"sa3014477"
"Zach McCambley","MIA","MIRP","AA","23.4777777",,34,"30 / 30","","70 / 70","40 / 45","30 / 45","35+",94,0.23990499,0.12351544,0.46428571,5.648936170212766,4.829275321960449,"sa3014478"
"Carter Baumler","BAL","SP","A","20.7083333",,19,"45 / 50","50 / 55","45 / 55","30 / 50","30 / 45","40",11.2,0.41666667,0.14583333,0.5,1.5428567224620486,2.932459972708603,"sa3014480"
"Owen White","TEX","SP","AA","23.1833333",63,3,"50 / 55","55 / 60","50 / 50","45 / 55","50 / 60","50",80.1,0.31707317,0.07012195,0.47849462,3.5850618718111322,3.1943695482323013,"sa3014481"
"Jared Shuster","ATL","SP","AAA","24.2",,1,"40 / 45","45 / 50","","55 / 60","45 / 60","45",139.1,0.26173285,0.06859206,0.45730028,3.2942584934602763,3.901891999737943,"sa3014483"
