Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Andrew Politi","BOS","SIRP","AAA","26.1722222",,42,"55 / 55","50 / 55","","45 / 50","30 / 40","35+",75,0.25872093,0.11046512,0.39903846,6.36,4.496944863001506,"sa3007243"
"Shawn Dubin","HOU","SIRP","CPX","26.9166666",,16,"65 / 65","60 / 60","50 / 50","","30 / 30","40",49.2,0.35384615,0.0974359,0.41584158,3.4429526675483992,4.0194119610066394,"sa3007248"
"Josh Dye","KCR","MIRP","AAA","25.8944444",,15,"30 / 30","55 / 60","","55 / 55","55 / 60","40+",65.2,0.27137546,0.07063197,0.48538012,2.604060712006025,3.406250204715006,"sa3007485"
"Ryan Walker","SFG","SIRP","AA","26.6944444",,49,"55 / 55","50 / 55","","","30 / 35","35+",49.1,0.32195122,0.04878049,0.53225806,3.6486488837582924,3.343110126429571,"sa3007594"
"Kevin Smith","BAL","SP","AA","25.2305555",,51,"40 / 40","55 / 55","","45 / 50","45 / 50","35+",82.1,0.27777778,0.15608466,0.39408867,4.591093401030469,4.977847155269703,"sa3007710"
"James McArthur","PHI","SIRP","AA","25.6527777",,15,"50 / 55","","50 / 55","40 / 40","40 / 45","40",78.1,0.24776119,0.07164179,0.48837209,4.251064105813151,4.1265756710927555,"sa3007715"
"Josh Roberson","TBR","SIRP","AA","26.2333333",,51,"50 / 55","55 / 60","","40 / 45","40 / 45","35+",45,0.31219512,0.13170732,0.45454545,6.4,3.915467154450835,"sa3007721"
"Lyon Richardson","CIN","SP","A+","22.55",,22,"45 / 50","45 / 50","50 / 50","45 / 55","45 / 55","40+",76,0.26300578,0.10982659,0.5,5.092105263157895,4.439266975537727,"sa3007727"
"Frank German","BOS","SIRP","AAA","24.8722222",,23,"60 / 60","40 / 50","","45 / 50","35 / 40","40",84.1,0.18947368,0.07894737,0.41897233,5.122529953215826,4.80812187098911,"sa3007729"
"Aiden McIntyre","OAK","SIRP","-1","26.9416666",,48,"55 / 65","40 / 45","","45 / 55","30 / 40","35+",51,0.30875576,0.07834101,0.42741935,2.823529411764706,3.859313404760091,"sa3007733"
"Austin Cox","KCR","MIRP","AAA","25.3555555",,54,"45 / 45","50 / 50","50 / 50","50 / 55","30 / 40","35+",68,0.20618557,0.10309278,0.35897436,4.102941176470588,5.392402546896655,"sa3007777"
"Ryan Weiss","ARI","MIRP","AAA","25.6555555",,48,"50 / 55","55 / 55","40 / 40","40 / 40","50 / 50","35+",78.1,0.26993865,0.09509202,0.395,4.595744867355057,4.644407924739123,"sa3007778"
"Gus Varland","LAD","MIRP","AA","25.75",,34,"50 / 55","50 / 55","","45 / 45","40 / 50","40",34.2,0.14379085,0.11764706,0.39449541,5.711537623546656,6.181484995579389,"sa3007779"
"Jackson Rees","TOR","SIRP","CPX","28.0166666",,37,"50 / 50","","70 / 70","","30 / 30","35+",2.2,0.15384615,0.30769231,0.57142857,3.374995674943506,7.695026601938332,"sa3007818"
"Taj Bradley","TBR","SP","AAA","21.3777777",,6,"60 / 65","40 / 45","","30 / 45","30 / 45","45+",103.1,0.30982368,0.07808564,0.48230088,1.8290323480929638,3.85504121280671,"sa3007839"
"Drew Rom","BAL","SP","AA","22.6416666",,16,"40 / 50","50 / 55","","","45 / 55","40+",107.2,0.2739726,0.05936073,0.54092527,3.1764708883535557,3.4861862671202064,"sa3007848"
"Dominic Pipkin","PHI","SIRP","A+","22.7527777",,32,"50 / 60","40 / 45","40 / 45","45 / 55","35 / 50","35+",58,0.25098039,0.10588235,0.45859873,4.9655172413793105,4.866740089654923,"sa3007896"
